Neighbour_data,Vaccinated_data
aizwal,aizawl
anugul,angul
ashok nagar,ashoknagar
baleshwar,balasore
badgam,budgam
bellary,ballari
bemetara,bametara
bid,beed
belgaum,belagavi
bangalore rural,bengaluru rural
bangalore urban,bengaluru urban
bishwanath,biswanath
chamarajanagar,chamarajanagara
kochbihar,cooch behar
baudh,boudh
devbhumi dwaraka,devbhumi dwarka
fategarh sahib,fatehgarh sahib
firozpur,ferozepur
gondiya,gondia
hugli,hooghly
jalor,jalore
jajapur,jajpur
janjgir-champa,janjgir champa
jhunjhunun,jhunjhunu
kabirdham,kabeerdham
kaimur (bhabua),kaimur
kanchipuram,kancheepuram
east karbi anglong,karbi anglong
kodarma,koderma
komram bheem,komaram bheem
lahul and spiti,lahaul and spiti
debagarh,deogarh
banas kantha,banaskantha
baramula,baramulla
the dangs,dang
dantewada,dakshin bastar dantewada
dhaulpur,dholpur
purba champaran,east champaran
purbi singhbhum,east singhbhum
faizabad,ayodhya
jyotiba phule nagar,amroha
sant ravidas nagar,bhadohi
jagatsinghapur,jagatsinghpur
kheri,lakhimpur kheri
mahrajganj,maharajganj
maldah,malda
medchal–malkajgiri,medchal malkajgiri
mahesana,mehsana
marigaon,morigaon
mumbai suburban,mumbai
nandubar,nandurbar
narsimhapur,narsinghpur
nav sari,navsari
the nilgiris,nilgiris
palghat,palakkad
pakaur,pakur
panch mahal,panchmahal
pattanamtitta,pathanamthitta
puruliya,purulia
rae bareilly,rae bareli
rajauri,rajouri
rangareddy,ranga reddy
ri-bhoi,ribhoi
sahibzada ajit singh nagar,s.a.s. nagar
sri potti sriramulu nellore,s.p.s. nellore
sabar kantha,sabarkantha
sait kibir nagar,sant kabir nagar
seraikela kharsawan,saraikela-kharsawan
shaheed bhagat singh nagar,shahid bhagat singh nagar
shimoga,shivamogga
shopian,shopiyan
sharawasti,shrawasti
siddharth nagar,siddharthnagar
sepahijala,sipahijala
sivagangai,sivaganga
south salmara-mankachar,south salmara mankachar
muktsar,sri muktsar sahib
sonapur,subarnapur
thoothukudi,thoothukkudi
tiruchchirappalli,tiruchirappalli
tirunelveli kattabo,tirunelveli
tiruvanamalai,tiruvannamalai
tumkur,tumakuru
pashchim champaran,west champaran
pashchimi singhbhum,west singhbhum
ysr,y.s.r. kadapa
yadagiri,yadgir
sri ganganagar,ganganagar
